
-- Action --
+---------+------------+---------------------+--------------------+
| ID      | Activity   | Domain              | Type               |
| calling floor     | SIG1        | A1         | Elevator Management | F2           |
| service dir       | SIG1        | A1         | Elevator Management | F3           |
| dir               | SIG2        | A2         | Elevator Management | F2           |
| aslevs            | SIG4        | A4         | Elevator Management | F2           |
| search dir        | SIG4        | A4         | Elevator Management | F3           |
| aslevs            | SIG5        | A5         | Elevator Management | F2           |
| calling floor     | SIG6        | A6         | Elevator Management | F2           |
| call dir          | SIG6        | A6         | Elevator Management | F3           |
| dir               | SIG11       | A25        | Elevator Management | F2           |
| dir               | SIG11       | A26        | Elevator Management | F2           |
| floor             | SIG12       | A27        | Elevator Management | F2           |
| new dest          | SIG13       | A28        | Elevator Management | F2           |
| new dest          | SIG13       | A29        | Elevator Management | F2           |
| nearest safe stop | SIG15       | A34        | Elevator Management | F2           |
| dir               | SIG17       | A41        | Elevator Management | F2           |
| dir               | SIG17       | A45        | Elevator Management | F2           |
| new dest          | SIG19       | A47        | Elevator Management | F2           |
| new dest          | SIG19       | A50        | Elevator Management | F2           |
| updated dest      | SIG20       | A51        | Elevator Management | F2           |
+-------------------+-------------+------------+---------------------+--------------+

-- Alias --
+--------+---------+----------+
| Name   | Class   | Domain   |
+========+=========+==========+
+--------+---------+----------+

-- Assigner --
+--------+---------------------+
| Rnum   | Domain              |
+========+=====================+
| R53    | Elevator Management |
+--------+---------------------+

-- Association --
+--------+---------------------+
| Rnum   | Domain              |
+========+=====================+
| R1     | Elevator Management |
| R2     | Elevator Management |
| R3     | Elevator Management |
| R4     | Elevator Management |
| R5     | Elevator Management |
| R6     | Elevator Management |
| R28    | Elevator Management |
| R29    | Elevator Management |
| R43    | Elevator Management |
| R49    | Elevator Management |
| R53    | Elevator Management |
+--------+---------------------+

-- Association_Class --
+--------+------------------------+---------------------+----------------+
| Rnum   | Class                  | Domain              | Multiplicity   |
+========+========================+=====================+================+
| R3     | Accessible Shaft Level | Elevator Management | 1              |
| R28    | Shaft Level            | Elevator Management | 1              |
| R29    | Bank Level             | Elevator Management | 1              |
| R49    | Floor Service          | Elevator Management | M              |
| R53    | Transfer               | Elevator Management | 1              |
+--------+------------------------+---------------------+----------------+

-- Association_Class_Hop --
+----------+-----------------------------------------------------+---------------------+
|   Number | Path                                                | Domain              |
+==========+=====================================================+=====================+
|        1 | /R29/Bank/R1/Shaft/R2/Cabin                         | Elevator Management |
|        2 | /R2/Shaft/R28/Shaft Level/R3/Accessible Shaft Level | Elevator Management |
|        3 | /R2/Shaft/R28/Shaft Level/R3/Accessible Shaft Level | Elevator Management |
|        1 | /R49/Floor Service                                  | Elevator Management |
|        2 | /R43/Shaft Level/R28/Floor                          | Elevator Management |
|        2 | /R4/Cabin/R53/Transfer                              | Elevator Management |
|        1 | /R49/Bank Level/R38/Middle Bank Level               | Elevator Management |
|        1 | /R49/Accessible Shaft Level                         | Elevator Management |
|        1 | /R53/Transfer                                       | Elevator Management |
|        1 | /R53/Accessible Shaft Level/R49/Floor Service       | Elevator Management |
|        2 | /R53/Accessible Shaft Level/R49/Floor Service       | Elevator Management |
|        2 | /R2/Shaft/R28/Shaft Level                           | Elevator Management |
|        1 | /R3/Bank Level                                      | Elevator Management |
|        1 | /R3/Shaft Level/R28/Shaft                           | Elevator Management |
|        2 | /R3/Shaft Level/R28/Shaft                           | Elevator Management |
|        1 | /R53/Cabin                                          | Elevator Management |
|        1 | /R53/Accessible Shaft Level                         | Elevator Management |
|        1 | /R53/Cabin/R2/Shaft                                 | Elevator Management |
+----------+-----------------------------------------------------+---------------------+

-- Association_Class_Reference --
+------------+------------------------+------------------------+--------+---------------------+
| Ref_type   | Association_class      | Participating_class    | Rnum   | Domain              |
+============+========================+========================+========+=====================+
| T          | Accessible Shaft Level | Shaft Level            | R3     | Elevator Management |
| P          | Accessible Shaft Level | Bank Level             | R3     | Elevator Management |
| T          | Shaft Level            | Floor                  | R28    | Elevator Management |
| P          | Shaft Level            | Shaft                  | R28    | Elevator Management |
| T          | Bank Level             | Bank                   | R29    | Elevator Management |
| P          | Bank Level             | Floor                  | R29    | Elevator Management |
| T          | Floor Service          | Bank Level             | R49    | Elevator Management |
| P          | Floor Service          | Accessible Shaft Level | R49    | Elevator Management |
